商品名,商品ID,カテゴリー,カテゴリーID,価格,税込税抜,税率
お好みランチ,,ランチ,,888,税抜,10
レディースランチ【男性もOK】,,ランチ,,888,税抜,10
ガッツリランチ,,ランチ,,888,税抜,10
【ガッツリランチ】お替りご飯,,ランチ,,0,税込,10
【ガッツリランチ】お替り味噌汁,,ランチ,,0,税込,10
【ガッツリランチ】お替り漬物,,ランチ,,0,税込,10
生ビール,,【ハッピーアワー11時～13時】半額,,244,税抜,10
中瓶ビール,,【ハッピーアワー11時～13時】半額,,294,税抜,10
アサヒドライゼロ,,【ハッピーアワー11時～13時】半額,,144,税抜,10
シャンディガフ,,【ハッピーアワー11時～13時】半額,,244,税抜,10
コークビア,,【ハッピーアワー11時～13時】半額,,244,税抜,10
カルピスビア,,【ハッピーアワー11時～13時】半額,,244,税抜,10
麦焼酎（水割り・お湯割り・ロック）,,【ハッピーアワー11時～13時】半額,,144,税抜,10
芋焼酎（水割り・お湯割り・ロック）,,【ハッピーアワー11時～13時】半額,,144,税抜,10
日本酒,,【ハッピーアワー11時～13時】半額,,194,税抜,10
はるのゆことハイボール,,【ハッピーアワー11時～13時】半額,,94,税抜,10
角ハイボール,,【ハッピーアワー11時～13時】半額,,144,税抜,10
レモンハイボール,,【ハッピーアワー11時～13時】半額,,144,税抜,10
プラムハイボール,,【ハッピーアワー11時～13時】半額,,144,税抜,10
マスカットハイボール,,【ハッピーアワー11時～13時】半額,,144,税抜,10
ピーチハイボール,,【ハッピーアワー11時～13時】半額,,144,税抜,10
コークハイボール,,【ハッピーアワー11時～13時】半額,,144,税抜,10
ジンジャーハイボール,,【ハッピーアワー11時～13時】半額,,144,税抜,10
カルピスハイボール,,【ハッピーアワー11時～13時】半額,,144,税抜,10
メロンハイボール,,【ハッピーアワー11時～13時】半額,,144,税抜,10
プレーンサワー,,【ハッピーアワー11時～13時】半額,,144,税抜,10
レモンサワー,,【ハッピーアワー11時～13時】半額,,144,税抜,10
プラムサワー,,【ハッピーアワー11時～13時】半額,,144,税抜,10
マスカットサワー,,【ハッピーアワー11時～13時】半額,,144,税抜,10
ピーチサワー,,【ハッピーアワー11時～13時】半額,,144,税抜,10
コークサワー,,【ハッピーアワー11時～13時】半額,,144,税抜,10
ジンジャーサワー,,【ハッピーアワー11時～13時】半額,,144,税抜,10
カルピスサワー,,【ハッピーアワー11時～13時】半額,,144,税抜,10
メロンサワー,,【ハッピーアワー11時～13時】半額,,144,税抜,10
ウーロンハイ,,【ハッピーアワー11時～13時】半額,,144,税抜,10
炭酸水,,【ハッピーアワー11時～13時】半額,,44,税抜,10
コカ・コーラ,,【ハッピーアワー11時～13時】半額,,94,税抜,10
ジンジャーエール,,【ハッピーアワー11時～13時】半額,,94,税抜,10
ファンタメロン,,【ハッピーアワー11時～13時】半額,,94,税抜,10
スプライト,,【ハッピーアワー11時～13時】半額,,94,税抜,10
カルピス,,【ハッピーアワー11時～13時】半額,,94,税抜,10
カルピスソーダ,,【ハッピーアワー11時～13時】半額,,94,税抜,10
オレンジジュース,,【ハッピーアワー11時～13時】半額,,94,税抜,10
